
Name       Version Source Updated             Info
----       ------- ------ -------             ----
7zip       25.01   main   2025-10-07 08:15:08 
bat        0.25.0  main   2025-10-07 08:16:17 
bzip2      1.0.8.0 main   2025-10-07 08:15:50 
coreutils  5.97.3  main   2025-10-07 08:15:17 
dark       3.14.1  main   2025-11-29 21:07:09 
diffutils  3.6     main   2025-10-07 08:15:36 
duf        0.9.1   main   2025-10-07 08:16:20 
dust       1.2.3   main   2025-10-07 08:16:19 
erdtree    3.1.2   main   2025-10-07 08:15:39 
eza        0.23.4  main   2025-12-21 17:36:55 
fd         10.3.0  main   2025-10-07 08:16:15 
file       5.45    main   2025-10-07 08:39:35 
findutils  4.4.2   main   2025-10-07 08:15:24 
gawk       5.3.2   main   2025-10-07 08:15:31 
grep       3.11    main   2025-10-07 08:15:25 
gzip       1.3.12  main   2025-10-07 08:15:42 
hyperfine  1.19.0  main   2025-10-07 08:16:26 
less       679     main   2025-10-07 08:15:37 
make       4.4.1   main   2025-10-07 08:24:44 
nodejs-lts 24.11.1 main   2025-12-07 17:42:08 
python     3.14.0  main   2025-11-29 21:08:02 
ripgrep    14.1.1  main   2025-10-07 08:16:14 
sed        4.9     main   2025-10-07 08:15:32 
tar        1.23    main   2025-10-07 08:15:48 
tldr       0.6.1   main   2025-10-07 08:16:23 
unzip      6.00    main   2025-10-07 08:15:50 

